,firing_rate
value_trap_risk,0.350597609561753
goodwill_heavy,0.17928286852589642
extreme_rim_estimate,0.1553784860557769
extreme_graham_estimate,0.13745019920318724
restatement_history,0.11752988047808766
sloan_accruals_top_decile,0.11155378486055777
extreme_dcf_estimate,0.10557768924302789
accruals_momentum_high,0.099601593625498
altman_distress,0.09163346613545817
net_issuance_top_decile,0.07370517928286853
extreme_multiples_pb_estimate,0.0697211155378486
beneish_high,0.05179282868525897
cross_source_disagreement,0.045816733067729085
rem_suspect,0.03187250996015936
extreme_multiples_pe_estimate,0.027888446215139442
beneish_manipulation_veto,0.021912350597609563
extreme_multiples_ev_ebitda_estimate,0.0199203187250996
auditor_change,0.017928286852589643
data_quality_input_corruption,0.013944223107569721
going_concern_disclosure,0.0099601593625498
dechow_high,0.00398406374501992
manipulation_triple_flag,0.00398406374501992
late_filing_notification,0.00398406374501992
dechow_manipulation_veto,0.00199203187250996
non_reliance_filing,0.00199203187250996
